Ações por Índice
Dados de 1 a 4 de 2022
Empresa;Código;Índices dos quais participa
3M;DRN;MMMC34;BDRX;
3R PETROLEUM;ON   NM;RRRP3;IBOV,IBRA,IBXX,IGCT,IGCX,IGNM,ITAG,SMLL;
3TENTOS;ON   NM;TTEN3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
AB INBEV;DRN;ABUD34;BDRX;
ABB LTD;DRN;A1BB34;BDRX;
ABBOTT;DRN;ABTT34;BDRX;
ABBVIE;DRN;ABBV34;BDRX;
ABC BRASIL;PN   N2;ABCB4;IBRA,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL;
ACCENTURE;DRN;ACNB34;BDRX;
ACTIVISION;DRN;ATVI34;BDRX;
ADOBE INC;DRN;ADBE34;BDRX;
ADVANCE AUTO;DRN;A1AP34;BDRX;
ADVANCED MIC;DRN;A1MD34;BDRX;
AEGON NV;DRN;A1EG34;BDRX;
AERIS;ON   NM;AERI3;IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL;
AES BRASIL;ON   NM;AESB3;IBRA,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL;
AES CORP;DRN;A1ES34;BDRX;
AGROGALAXY;ON   NM;AGXY3;IGCX,IGNM,ITAG;
AIRBNB;DRN;AIRB34;BDRX;
AKAMAI TECHN;DRN;A1KA34;BDRX;
ALBEMARLE CO;DRN;A1LB34;BDRX;
ALEXANDRIA R;DRN;A1RE34;BDRX;
ALIANSCSONAE;ON   NM;ALSO3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
ALIBABAGR;DRN;BABA34;BDRX;
ALIGN TECHNO;DRN;A1LG34;BDRX;
ALLIAR;ON   NM;AALR3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
ALLIED;ON   NM;ALLD3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
ALNYLAM PHAR;DRN;A1LN34;BDRX;
ALPARGATAS;ON   N1;ALPA3;IGCX;
ALPARGATAS;PN   N1;ALPA4;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,INDX,MLCX;
ALPER S.A.;ON   NM;APER3;IGCX,IGNM,ITAG;
ALPHABET;DRN;GOGL34;BDRX;
ALPHABET;DRN;GOGL35;BDRX;
ALPHAVILLE;ON   NM;AVLL3;IGCX,IGNM,ITAG;
ALTERYX INC;DRN;A1YX34;BDRX;
ALTRIA GROUP;DRN;MOOO34;BDRX;
ALUPAR;UNT  N2;ALUP11;IBRA,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL;
AMAZON;DRN;AMZO34;BDRX;
AMBEV S/A;ON;ABEV3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,INDX,MLCX;
AMBIPAR;ON   NM;AMBP3;IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL;
AMCOR PLC;DRN;A1CR34;BDRX;
AMERICAMOVIL;DRN;A1MX34;BDRX;
AMERICAN AIR;DRN;AALL34;BDRX;
AMERICAN EXP;DRN;AXPB34;BDRX;
AMERICAN TOW;DRN;T1OW34;BDRX;
AMERICANAS;ON   NM;AMER3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
AMGEN;DRN;AMGN34;BDRX;
ANGLOGOLD AS;DRN;A1UA34;BDRX;
ANIMA;ON   NM;ANIM3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
APA CORP;DRN;A1PA34;BDRX;
APARTMENT IN;DRN;A1IV34;BDRX;
APPLE;DRN;AAPL34;BDRX;
APPLIED MATE;DRN;A1MT34;BDRX;
ARCELOR;DRN;ARMT34;BDRX;
AREZZO CO;ON   NM;ARZZ3;IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
